Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate,"216,000 ",Offline,30,Variable,1.890%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate - Fee Offer,"216,000 ",Offline,30,Variable,2.640%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate Buy To Let ,"216,000 ",Offline,30,Variable,4.790%,5.500%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate,"216,000 ",Offline,30,Variable,2.690%,4.200%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate - Fee Offer,"216,000 ",Offline,30,Variable,3.040%,4.200%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate Buy To Let ,"216,000 ",Offline,30,Variable,4.990%,5.500%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset 2 Year Discount (OVR Minus 2.01%) ,"216,000 ",Offline,30,Variable,2.940%,4.800%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset Variable Investment Housing Loan Buy To Let,"216,000 ",Offline,30,Variable,5.350%,5.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discounted Standard Variable Rate(SVR Minus 2.81%) ,"360,000 ",Offline,30,Variable,2.140%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discount Standard Variable Rate - Fee Offer (SVR Minus 2.31%) ,"360,000 ",Offline,30,Variable,2.640%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate,"360,000 ",Offline,30,Variable,1.890%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate - Fee Offer,"360,000 ",Offline,30,Variable,2.640%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate Buy To Let ,"360,000 ",Offline,30,Variable,4.790%,5.500%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate,"360,000 ",Offline,30,Variable,2.690%,4.200%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate - Fee Offer,"360,000 ",Offline,30,Variable,3.040%,4.200%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate Buy To Let ,"360,000 ",Offline,30,Variable,4.990%,5.500%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset 2 Year Discount (OVR Minus 2.01%) ,"360,000 ",Offline,30,Variable,2.940%,4.800%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset Variable Investment Housing Loan Buy To Let,"360,000 ",Offline,30,Variable,5.350%,5.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discounted Standard Variable Rate(SVR Minus 2.81%) ,"72,000 ",Offline,10,Variable,2.140%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discount Standard Variable Rate - Fee Offer (SVR Minus 2.31%) ,"72,000 ",Offline,10,Variable,2.640%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate,"72,000 ",Offline,10,Variable,1.890%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate - Fee Offer,"72,000 ",Offline,10,Variable,2.640%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate Buy To Let ,"72,000 ",Offline,10,Variable,4.790%,5.500%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate,"72,000 ",Offline,10,Variable,2.690%,4.200%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate - Fee Offer,"72,000 ",Offline,10,Variable,3.040%,4.200%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate Buy To Let ,"72,000 ",Offline,10,Variable,4.990%,5.500%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset 2 Year Discount (OVR Minus 2.01%) ,"72,000 ",Offline,10,Variable,2.940%,4.800%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset Variable Investment Housing Loan Buy To Let,"72,000 ",Offline,10,Variable,5.350%,5.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discounted Standard Variable Rate(SVR Minus 2.81%) ,"216,000 ",Offline,10,Variable,2.140%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discount Standard Variable Rate - Fee Offer (SVR Minus 2.31%) ,"216,000 ",Offline,10,Variable,2.640%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate,"216,000 ",Offline,10,Variable,1.890%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate - Fee Offer,"216,000 ",Offline,10,Variable,2.640%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate Buy To Let ,"216,000 ",Offline,10,Variable,4.790%,5.500%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate,"216,000 ",Offline,10,Variable,2.690%,4.200%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate - Fee Offer,"216,000 ",Offline,10,Variable,3.040%,4.200%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate Buy To Let ,"216,000 ",Offline,10,Variable,4.990%,5.500%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset 2 Year Discount (OVR Minus 2.01%) ,"216,000 ",Offline,10,Variable,2.940%,4.800%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset Variable Investment Housing Loan Buy To Let,"216,000 ",Offline,10,Variable,5.350%,5.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discounted Standard Variable Rate(SVR Minus 2.81%) ,"360,000 ",Offline,10,Variable,2.140%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discount Standard Variable Rate - Fee Offer (SVR Minus 2.31%) ,"360,000 ",Offline,10,Variable,2.640%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate,"360,000 ",Offline,10,Variable,1.890%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate - Fee Offer,"360,000 ",Offline,10,Variable,2.640%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate Buy To Let ,"360,000 ",Offline,10,Variable,4.790%,5.500%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate,"360,000 ",Offline,10,Variable,2.690%,4.200%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate - Fee Offer,"360,000 ",Offline,10,Variable,3.040%,4.200%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate Buy To Let ,"360,000 ",Offline,10,Variable,4.990%,5.500%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset 2 Year Discount (OVR Minus 2.01%) ,"360,000 ",Offline,10,Variable,2.940%,4.800%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset Variable Investment Housing Loan Buy To Let,"360,000 ",Offline,10,Variable,5.350%,5.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discounted Standard Variable Rate(SVR Minus 2.81%) ,"72,000 ",Offline,15,Variable,2.140%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discount Standard Variable Rate - Fee Offer (SVR Minus 2.31%) ,"72,000 ",Offline,15,Variable,2.640%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate,"72,000 ",Offline,15,Variable,1.890%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate - Fee Offer,"72,000 ",Offline,15,Variable,2.640%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate Buy To Let ,"72,000 ",Offline,15,Variable,4.790%,5.500%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate,"72,000 ",Offline,15,Variable,2.690%,4.200%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate - Fee Offer,"72,000 ",Offline,15,Variable,3.040%,4.200%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate Buy To Let ,"72,000 ",Offline,15,Variable,4.990%,5.500%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset 2 Year Discount (OVR Minus 2.01%) ,"72,000 ",Offline,15,Variable,2.940%,4.800%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset Variable Investment Housing Loan Buy To Let,"72,000 ",Offline,15,Variable,5.350%,5.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discounted Standard Variable Rate(SVR Minus 2.81%) ,"216,000 ",Offline,15,Variable,2.140%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discount Standard Variable Rate - Fee Offer (SVR Minus 2.31%) ,"216,000 ",Offline,15,Variable,2.640%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate,"216,000 ",Offline,15,Variable,1.890%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate - Fee Offer,"216,000 ",Offline,15,Variable,2.640%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate Buy To Let ,"216,000 ",Offline,15,Variable,4.790%,5.500%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate,"216,000 ",Offline,15,Variable,2.690%,4.200%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate - Fee Offer,"216,000 ",Offline,15,Variable,3.040%,4.200%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate Buy To Let ,"216,000 ",Offline,15,Variable,4.990%,5.500%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset 2 Year Discount (OVR Minus 2.01%) ,"216,000 ",Offline,15,Variable,2.940%,4.800%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset Variable Investment Housing Loan Buy To Let,"216,000 ",Offline,15,Variable,5.350%,5.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discounted Standard Variable Rate(SVR Minus 2.81%) ,"360,000 ",Offline,15,Variable,2.140%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discount Standard Variable Rate - Fee Offer (SVR Minus 2.31%) ,"360,000 ",Offline,15,Variable,2.640%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate,"360,000 ",Offline,15,Variable,1.890%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate - Fee Offer,"360,000 ",Offline,15,Variable,2.640%,4.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate Buy To Let ,"360,000 ",Offline,15,Variable,4.790%,5.500%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate,"360,000 ",Offline,15,Variable,2.690%,4.200%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate - Fee Offer,"360,000 ",Offline,15,Variable,3.040%,4.200%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate Buy To Let ,"360,000 ",Offline,15,Variable,4.990%,5.500%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset 2 Year Discount (OVR Minus 2.01%) ,"360,000 ",Offline,15,Variable,2.940%,4.800%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset Variable Investment Housing Loan Buy To Let,"360,000 ",Offline,15,Variable,5.350%,5.600%,"360,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discounted Standard Variable Rate(SVR Minus 2.81%) ,"72,000 ",Offline,25,Variable,2.140%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discount Standard Variable Rate - Fee Offer (SVR Minus 2.31%) ,"72,000 ",Offline,25,Variable,2.640%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate,"72,000 ",Offline,25,Variable,1.890%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate - Fee Offer,"72,000 ",Offline,25,Variable,2.640%,4.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate Buy To Let ,"72,000 ",Offline,25,Variable,4.790%,5.500%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate,"72,000 ",Offline,25,Variable,2.690%,4.200%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate - Fee Offer,"72,000 ",Offline,25,Variable,3.040%,4.200%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate Buy To Let ,"72,000 ",Offline,25,Variable,4.990%,5.500%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset 2 Year Discount (OVR Minus 2.01%) ,"72,000 ",Offline,25,Variable,2.940%,4.800%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset Variable Investment Housing Loan Buy To Let,"72,000 ",Offline,25,Variable,5.350%,5.600%,"72,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discounted Standard Variable Rate(SVR Minus 2.81%) ,"216,000 ",Offline,25,Variable,2.140%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Discount Standard Variable Rate - Fee Offer (SVR Minus 2.31%) ,"216,000 ",Offline,25,Variable,2.640%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate,"216,000 ",Offline,25,Variable,1.890%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate - Fee Offer,"216,000 ",Offline,25,Variable,2.640%,4.600%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,2 Year Fixed Rate Buy To Let ,"216,000 ",Offline,25,Variable,4.790%,5.500%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,2,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate,"216,000 ",Offline,25,Variable,2.690%,4.200%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate - Fee Offer,"216,000 ",Offline,25,Variable,3.040%,4.200%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,5 Year Fixed Rate Buy To Let ,"216,000 ",Offline,25,Variable,4.990%,5.500%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,5,
3/19/2018,UK,London,Clydesdale Bank,GBP,Banks,Mortgages,Mortgages,Offset 2 Year Discount (OVR Minus 2.01%) ,"216,000 ",Offline,25,Variable,2.940%,4.800%,"216,000 ",20%,New Purchase,Primary Residence,Principle + Interest,,
