Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,3.12%,3.8%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,10,Fixed,3.14%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,3.39%,3.8%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.84%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.09%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,3.14%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.39%,3.8%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.44%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.69%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.84%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.09%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.94%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,3.14%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.19%,3.8%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.39%,3.8%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.31%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.56%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.84%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.09%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.87%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.12%,3.8%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,3.14%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,3.39%,3.8%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,20,Fixed,2.84%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.09%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,20,Fixed,3.14%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.39%,3.8%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,20,Fixed,2.44%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,20,Fixed,2.69%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,20,Fixed,2.84%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.09%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,20,Fixed,2.94%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,20,Fixed,3.14%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.19%,3.8%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.39%,3.8%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,20,Fixed,2.31%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,20,Fixed,2.56%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,20,Fixed,2.84%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.09%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,20,Fixed,2.87%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.12%,3.8%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,20,Fixed,3.14%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,20,Fixed,3.39%,3.8%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.84%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,25,Fixed,3.09%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,3.14%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,3.39%,3.8%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.84%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,3.09%,3.9%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,3.14%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,3.39%,3.8%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.44%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.69%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.84%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,3.09%,3.9%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.94%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,3.14%,3.7%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,3.19%,3.8%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,3.39%,3.8%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.31%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.56%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.84%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,3.09%,3.9%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.87%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,3.12%,3.8%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,3.14%,3.7%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Lloyds Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,3.39%,3.8%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
