Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.38%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.12%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.23%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.35%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.46%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,25,Fixed,1.78%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,25,Fixed,1.89%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.27%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.38%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.12%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.23%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.35%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.46%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,30,Fixed,1.78%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,1.89%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.27%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.38%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.12%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.23%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.35%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.46%,3.99%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,10,Fixed,1.44%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,10,Fixed,1.55%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,10,Fixed,2.27%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,10,Fixed,2.38%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,10,Fixed,1.92%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,2.11%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,10,Fixed,2.35%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,2.46%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,15,Fixed,1.44%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,15,Fixed,1.55%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.27%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.38%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,1.92%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.11%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.35%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.46%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,25,Fixed,1.44%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,25,Fixed,1.55%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.27%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.38%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,1.92%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.11%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.35%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.46%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,30,Fixed,1.44%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,1.55%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.27%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.38%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,1.92%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.11%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.35%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
2018-03-19,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.46%,3.99%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,
